product_id,class_id,classification_evidence,source_id,verified_at
supp_0001,antifungal,Multi-signal rule evaluated TFDA active summary (CLOTRIMAZOLE) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0002,laxative,Multi-signal rule evaluated TFDA active summary (BISACODYL) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0003,antifungal,Multi-signal rule evaluated TFDA active summary (CLOTRIMAZOLE) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0004,other_rectal,Multi-signal rule evaluated TFDA active summary (ASPIRIN) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0005,other_rectal,Multi-signal rule evaluated TFDA active summary (METRONIDAZOLE) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0006,other_rectal,Multi-signal rule evaluated TFDA active summary (ASPIRIN) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0007,antifungal,Multi-signal rule evaluated TFDA active summary (NYSTATIN) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0008,antifungal,Multi-signal rule evaluated TFDA active summary (CLOTRIMAZOLE) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0009,antiseptic,Multi-signal rule evaluated TFDA active summary (POLYCRESOLSULFONATE (POLICRESULEN)) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0010,laxative,Multi-signal rule evaluated TFDA active summary (BISACODYL) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0011,other_rectal,Multi-signal rule evaluated TFDA active summary (ECONAZOLE NITRATE) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0012,other_rectal,"Multi-signal rule evaluated TFDA active summary (ANIMAL HEART EXTRACT, WATER INSOLUBLE *) with indication only as corroboration; class is not assigned from a keyword alone.",tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0013,antipyretic_analgesic,Multi-signal rule evaluated TFDA active summary (ACETAMINOPHEN (EQ TO PARACETAMOL)) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0014,antipyretic_analgesic,Multi-signal rule evaluated TFDA active summary (ACETAMINOPHEN (EQ TO PARACETAMOL)) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0015,anti_inflammatory_systemic,Multi-signal rule evaluated TFDA active summary (DICLOFENAC SODIUM) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0016,anti_inflammatory_systemic,Multi-signal rule evaluated TFDA active summary (DICLOFENAC SODIUM) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0017,anti_inflammatory_systemic,Multi-signal rule evaluated TFDA active summary (DICLOFENAC SODIUM) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0018,other_rectal,Multi-signal rule evaluated TFDA active summary (DL-METHYLEPHEDRINE HCL;;DIPROPHYLLINE) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0019,laxative,Multi-signal rule evaluated TFDA active summary (BISACODYL) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0020,hemorrhoid,Multi-signal rule evaluated TFDA active summary (HYDROCORTISONE ACETATE;;TOCOPHEROL ACETATE;;ZINC OXIDE;;LIDOCAINE;;ALLANTOIN) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0020,local_anesthetic,Multi-signal rule evaluated TFDA active summary (HYDROCORTISONE ACETATE;;TOCOPHEROL ACETATE;;ZINC OXIDE;;LIDOCAINE;;ALLANTOIN) with indication only as corroboration; class is not assigned from a keyword alone.,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
