ingredient_id_a,ingredient_inn_a,ingredient_zh_a,ingredient_id_b,ingredient_inn_b,ingredient_zh_b,cooccurrence_product_count,active_product_count,ingredient_a_product_count,ingredient_b_product_count,rate_within_a,rate_within_b,association_score,product_names,license_numbers
ING0002,Camphor,,ING0003,Menthol,,106,46,119,124,0.8908,0.8548,87.3,"撒隆巴斯;巴士;嘉伊娜巴斯;撒隆濕布;涼涼涼鎮痛藥布;白金膏;""人生""舒寧巴斯;歡喜巴斯;金龍膏;""正光"" 巴斯藥膠布;悅心巴斯膏布;濕痛膏布;除痠痛膏布;濕痛藥膏布;樂樂鎮痛藥膏布;〝三陽〞金系羔藥布;大維好安巴斯;濕痛布;大維貼痠痛藥布;""德山"" 免酸痛藥膠布;""德山""鎮痛藥膠布;""德山""青皮藥膠布;耐斯藥膠布;""德山""象印膏藥膠布;疼痛膏;三陽朝日膏;人生舒冷巴佈膏;舒痛巴佈膏〝葡萄王〞;虎標永安堂萬金油（紅）;虎標永安堂萬金油（白）;抗痛寧舒布;曼秀雷敦鎮痛水性藥膠布;虎標水性鎮痛藥布;""得生""舒痛藥布;""得生""剋百痛藥布;""得生"" 滅痠痛藥布;""真富""薄荷膏藥膠布;鐵甲貼布;""三陽"" 痠痛萬金膏;""三陽"" 痠痛金絲膏藥布;""葡萄王"" 百克斯膏布;""陽生"" 鎮痛膏布;舒百達藥膠布;寶安藥膠布;舒可達藥膠布;舒必達藥膠布;""德山""祛酸痛藥膠布;""德山""祛風濕藥膠布;貼可藥膠布;美帝喜布藥膠布;""得生""安可巴斯;易貼巴佈膏;巴巴痛;舒爾痛;溫貼喜布;生春痠痛寧藥膠布;萬應紅花溫感藥布;巴貼斯巴佈膏藥膠布;巴斯達巴佈膏藥膠布;貼可藥布;美帝喜布藥布;""得生""酸痛貼布;救筋酸痛布;福貼藥布;""生春""貼酸明痠痛布;樂貼藥布;""得生""滅痛藥布;抗痛舒佈藥膠布;貼利康水性藥布;貼可喜布;透骨痠痛布;救痛藥布;德國薄荷標消炎膏;虎標鎮痛藥布;""德山""筋來爽藥膠布;""人生""舒佈巴斯;""德山"" 舒痠痛藥布;奔肌滲透止痛貼;三箭水性鎮痛藥膏布;""漁人"" 療痛貼藥膠布;〝近江兄弟〞萬痛安酸痛貼布;""得生"" 貼立舒喜布;〝護民〞緩痛貼藥膠布;〝德山〞運動巴斯藥膠布;〝國品〞療舒貼藥膠布;”得生”易貼巴佈膏貼布;脫酸寧透明藥布;脫酸寧藥膠布;敵疼貼布;脫酸寧涼藥布;痛貼貼貼片劑;脫酸寧Ａ藥布;快舒服－優貼布劑;日本三笠藥膠布Ｇ;日本三笠溫感藥膠布;善必克貼布劑;藤澤藥膠布;""大協"" 紓得好貼布;撒隆適布;吉品貼布;撒隆適布肌兒帕奇貼片;速達酸痛貼布;脫酸寧藥布;痛貼貼溫感貼片劑",內衛成製字第000061號;內衛成製字第000971號;衛署成製字第001427號;衛署成製字第002108號;衛署成製字第002303號;衛署成製字第003051號;衛署成製字第003332號;衛署成製字第003380號;衛署成製字第003598號;衛署成製字第003786號;衛署成製字第003972號;衛署成製字第004085號;衛署成製字第004090號;衛署成製字第004121號;衛署成製字第004148號;衛署成製字第004218號;衛署成製字第004545號;衛署成製字第005641號;衛署成製字第005666號;衛署成製字第005667號;衛署成製字第005700號;衛署成製字第005716號;衛署成製字第005830號;衛署成製字第005910號;衛署成製字第006647號;衛署成製字第007361號;衛署成製字第007868號;衛署成製字第009015號;衛署成製字第009355號;衛署成製字第009356號;衛署成製字第010319號;衛署成製字第010389號;衛署成製字第011076號;衛署成製字第011077號;衛署成製字第011644號;衛署成製字第013194號;衛署成製字第015313號;衛署成輸字第000001號;衛署藥製字第011334號;衛署藥製字第017039號;衛署藥製字第019363號;衛署藥製字第021345號;衛署藥製字第022741號;衛署藥製字第023884號;衛署藥製字第027371號;衛署藥製字第027399號;衛署藥製字第027581號;衛署藥製字第028231號;衛署藥製字第032109號;衛署藥製字第032110號;衛署藥製字第032919號;衛署藥製字第032920號;衛署藥製字第033155號;衛署藥製字第033156號;衛署藥製字第034095號;衛署藥製字第034140號;衛署藥製字第035217號;衛署藥製字第035323號;衛署藥製字第035703號;衛署藥製字第037282號;衛署藥製字第037295號;衛署藥製字第037297號;衛署藥製字第037298號;衛署藥製字第038086號;衛署藥製字第038309號;衛署藥製字第038310號;衛署藥製字第038322號;衛署藥製字第039767號;衛署藥製字第039768號;衛署藥製字第039881號;衛署藥製字第040204號;衛署藥製字第040571號;衛署藥製字第040929號;衛署藥製字第042882號;衛署藥製字第043030號;衛署藥製字第043430號;衛署藥製字第043734號;衛署藥製字第045173號;衛署藥製字第047605號;衛署藥製字第047842號;衛署藥製字第048163號;衛署藥製字第048748號;衛署藥製字第049007號;衛署藥製字第049355號;衛署藥製字第049460號;衛署藥製字第049614號;衛署藥製字第049675號;衛署藥輸字第018206號;衛署藥輸字第018359號;衛署藥輸字第018494號;衛署藥輸字第018627號;衛署藥輸字第018861號;衛署藥輸字第019083號;衛署藥輸字第019142號;衛署藥輸字第019787號;衛署藥輸字第019788號;衛署藥輸字第020500號;衛署藥輸字第020565號;衛署藥輸字第022068號;衛署藥輸字第022347號;衛署藥輸字第022519號;衛署藥輸字第023545號;衛署藥輸字第024182號;衛署藥輸字第024682號;衛署藥輸字第024683號;衛署藥輸字第025000號
ING0002,Camphor,,ING0007,Methyl salicylate,,83,32,119,94,0.6975,0.8830,78.5,"撒隆巴斯;巴士;嘉伊娜巴斯;撒隆濕布;涼涼涼鎮痛藥布;白金膏;""人生""舒寧巴斯;歡喜巴斯;金龍膏;""正光"" 巴斯藥膠布;百珍膏布;悅心巴斯膏布;濕痛膏布;除痠痛膏布;濕痛藥膏布;樂樂鎮痛藥膏布;〝三陽〞金系羔藥布;黃金膏;大維好安巴斯;濕痛布;大維貼痠痛藥布;""德山"" 免酸痛藥膠布;""德山""鎮痛藥膠布;""德山""青皮藥膠布;""德山""象印膏藥膠布;三陽朝日膏;舒痛巴佈膏〝葡萄王〞;抗痛寧舒布;虎標水性鎮痛藥布;""得生""舒痛藥布;""得生""剋百痛藥布;""得生"" 滅痠痛藥布;""真富""薄荷膏藥膠布;""三陽"" 痠痛萬金膏;""三陽"" 痠痛金絲膏藥布;""葡萄王"" 百克斯膏布;""陽生"" 鎮痛膏布;貼溫藥膏布;舒百達藥膠布;寶安藥膠布;舒可達藥膠布;舒必達藥膠布;""德山""祛酸痛藥膠布;""德山""祛風濕藥膠布;貼可藥膠布;美帝喜布藥膠布;""得生""安可巴斯;易貼巴佈膏;舒爾痛;溫貼喜布;生春痠痛寧藥膠布;萬應紅花溫感藥布;巴貼斯巴佈膏藥膠布;巴斯達巴佈膏藥膠布;貼可藥布;美帝喜布藥布;""得生""酸痛貼布;救筋酸痛布;福貼藥布;樂貼藥布;""得生""滅痛藥布;貼利康水性藥布;透骨痠痛布;""人生""舒佈巴斯;奔肌滲透止痛貼;〝近江兄弟〞萬痛安酸痛貼布;溫賀喜布;〝德山〞運動巴斯藥膠布;”得生”易貼巴佈膏貼布;脫酸寧藥膠布;敵疼貼布;好克斯貼布;痛貼貼貼片劑;脫酸寧Ａ藥布;快舒服－優貼布劑;日本三笠溫感藥膠布;熱克百疼貼布劑;速達酸痛貼布;脫酸寧藥布;痛貼貼溫感貼片劑;溫感喜布",內衛成製字第000061號;內衛成製字第000971號;衛署成製字第001427號;衛署成製字第002108號;衛署成製字第002303號;衛署成製字第003051號;衛署成製字第003332號;衛署成製字第003380號;衛署成製字第003598號;衛署成製字第003786號;衛署成製字第003836號;衛署成製字第003972號;衛署成製字第004085號;衛署成製字第004090號;衛署成製字第004121號;衛署成製字第004148號;衛署成製字第004218號;衛署成製字第004435號;衛署成製字第004545號;衛署成製字第005641號;衛署成製字第005666號;衛署成製字第005667號;衛署成製字第005700號;衛署成製字第005716號;衛署成製字第005910號;衛署成製字第007361號;衛署成製字第009015號;衛署成製字第010319號;衛署成製字第011076號;衛署成製字第011077號;衛署成製字第011644號;衛署成製字第013194號;衛署成製字第015313號;衛署藥製字第011334號;衛署藥製字第017039號;衛署藥製字第019363號;衛署藥製字第021345號;衛署藥製字第022623號;衛署藥製字第022741號;衛署藥製字第023884號;衛署藥製字第027371號;衛署藥製字第027399號;衛署藥製字第027581號;衛署藥製字第028231號;衛署藥製字第032109號;衛署藥製字第032110號;衛署藥製字第032919號;衛署藥製字第032920號;衛署藥製字第033156號;衛署藥製字第034095號;衛署藥製字第034140號;衛署藥製字第035217號;衛署藥製字第035323號;衛署藥製字第035703號;衛署藥製字第037282號;衛署藥製字第037295號;衛署藥製字第037297號;衛署藥製字第037298號;衛署藥製字第038086號;衛署藥製字第038309號;衛署藥製字第038322號;衛署藥製字第039767號;衛署藥製字第039881號;衛署藥製字第040571號;衛署藥製字第043734號;衛署藥製字第047605號;衛署藥製字第048748號;衛署藥製字第049141號;衛署藥製字第049460號;衛署藥製字第049675號;衛署藥輸字第018359號;衛署藥輸字第018494號;衛署藥輸字第018709號;衛署藥輸字第018861號;衛署藥輸字第019083號;衛署藥輸字第019142號;衛署藥輸字第019788號;衛署藥輸字第021384號;衛署藥輸字第024182號;衛署藥輸字第024682號;衛署藥輸字第024683號;衛署藥輸字第025000號;衛部藥製字第059290號
ING0002,Camphor,,ING0005,Thymol,,28,5,119,29,0.2353,0.9655,47.7,"撒隆巴斯;巴士;嘉伊娜巴斯;撒隆濕布;白金膏;""人生""舒寧巴斯;歡喜巴斯;""正光"" 巴斯藥膠布;悅心巴斯膏布;除痠痛膏布;濕痛藥膏布;樂樂鎮痛藥膏布;〝三陽〞金系羔藥布;黃金膏;大維好安巴斯;濕痛布;大維貼痠痛藥布;""德山""青皮藥膠布;耐斯藥膠布;疼痛膏;""德山""祛酸痛藥膠布;""得生""安可巴斯;救筋酸痛布;福貼藥布;透骨痠痛布;脫酸寧藥膠布;脫酸寧涼藥布;日本三笠溫感藥膠布",內衛成製字第000061號;內衛成製字第000971號;衛署成製字第001427號;衛署成製字第002108號;衛署成製字第003051號;衛署成製字第003332號;衛署成製字第003380號;衛署成製字第003786號;衛署成製字第003972號;衛署成製字第004090號;衛署成製字第004121號;衛署成製字第004148號;衛署成製字第004218號;衛署成製字第004435號;衛署成製字第004545號;衛署成製字第005641號;衛署成製字第005666號;衛署成製字第005716號;衛署成製字第005830號;衛署成製字第006647號;衛署藥製字第027581號;衛署藥製字第032919號;衛署藥製字第038086號;衛署藥製字第038309號;衛署藥製字第040571號;衛署藥輸字第018359號;衛署藥輸字第018627號;衛署藥輸字第019788號
ING0002,Camphor,,ING0017,Glycol Salicylate,,34,19,119,44,0.2857,0.7727,47.0,"歡喜巴斯;人生舒冷巴佈膏;人生溫感巴佈膏;熱龍巴布;""德山""祛酸痛藥膠布;貼可藥膠布;美帝喜布藥膠布;舒爾痛;生春痠痛寧藥膠布;貼可藥布;美帝喜布藥布;救筋酸痛布;福貼藥布;""生春""貼酸明痠痛布;樂貼藥布;抗痛舒佈藥膠布;貼利康溫感藥布;貼可喜布;透骨痠痛布;救痛藥布;德國薄荷標消炎膏;""德山""筋來爽藥膠布;三箭水性鎮痛藥膏布;""漁人"" 療痛貼藥膠布;〝美善滅酸疼〞溫感貼布;〝護民〞緩痛貼藥膠布;〝國品〞療舒貼藥膠布;“德山”邁疼溫感貼布;脫酸寧透明藥布;脫酸寧Ａ藥布;日本三笠藥膠布Ｇ;善必克貼布劑;撒隆適布;撒隆適布肌兒帕奇貼片",衛署成製字第003380號;衛署成製字第007868號;衛署成製字第008368號;衛署成製字第009438號;衛署藥製字第027581號;衛署藥製字第032109號;衛署藥製字第032110號;衛署藥製字第033156號;衛署藥製字第034140號;衛署藥製字第037295號;衛署藥製字第037297號;衛署藥製字第038086號;衛署藥製字第038309號;衛署藥製字第038310號;衛署藥製字第038322號;衛署藥製字第039768號;衛署藥製字第039800號;衛署藥製字第040204號;衛署藥製字第040571號;衛署藥製字第040929號;衛署藥製字第042882號;衛署藥製字第043430號;衛署藥製字第047842號;衛署藥製字第048163號;衛署藥製字第049171號;衛署藥製字第049355號;衛署藥製字第049614號;衛署藥製字第050257號;衛署藥輸字第018206號;衛署藥輸字第019083號;衛署藥輸字第019787號;衛署藥輸字第020500號;衛署藥輸字第022347號;衛署藥輸字第023545號
ING0002,Camphor,,ING0012,Diphenhydramine Hcl,,25,10,119,26,0.2101,0.9615,44.9,"嘉伊娜巴斯;金龍膏;""正光"" 巴斯藥膠布;濕痛膏布;〝三陽〞金系羔藥布;大維好安巴斯;""德山""鎮痛藥膠布;舒痛巴佈膏〝葡萄王〞;""得生""舒痛藥布;""葡萄王"" 百克斯膏布;易貼巴佈膏;舒爾痛;溫貼喜布;萬應紅花溫感藥布;巴斯達巴佈膏藥膠布;美帝喜布藥布;""得生""酸痛貼布;""生春""貼酸明痠痛布;貼利康水性藥布;貼可喜布;敵疼貼布;膚克舒貼布;日本三笠藥膠布Ｇ;日本三笠溫感藥膠布",衛署成製字第001427號;衛署成製字第003598號;衛署成製字第003786號;衛署成製字第004085號;衛署成製字第004218號;衛署成製字第004545號;衛署成製字第005700號;衛署成製字第009015號;衛署成製字第011077號;衛署藥製字第019363號;衛署藥製字第032920號;衛署藥製字第033156號;衛署藥製字第034095號;衛署藥製字第035217號;衛署藥製字第035703號;衛署藥製字第037282號;衛署藥製字第037297號;衛署藥製字第037298號;衛署藥製字第038310號;衛署藥製字第039881號;衛署藥製字第040204號;衛署藥輸字第018494號;衛署藥輸字第018582號;衛署藥輸字第019787號;衛署藥輸字第019788號
ING0002,Camphor,,ING0049,Tocopherol Acetate,,18,7,119,18,0.1513,1.0000,38.9,"美帝喜布藥膠布;易貼巴佈膏;美帝喜布藥布;""得生""酸痛貼布;福貼藥布;""生春""貼酸明痠痛布;樂貼藥布;貼可喜布;脫酸寧藥膠布;敵疼貼布;痛貼貼貼片劑;脫酸寧Ａ藥布;吉品貼布;撒隆適布肌兒帕奇貼片;速達酸痛貼布;脫酸寧藥布;撒隆巴斯;痛貼貼溫感貼片劑",衛署藥製字第032110號;衛署藥製字第032920號;衛署藥製字第037297號;衛署藥製字第037298號;衛署藥製字第038309號;衛署藥製字第038310號;衛署藥製字第038322號;衛署藥製字第040204號;衛署藥輸字第018359號;衛署藥輸字第018494號;衛署藥輸字第018861號;衛署藥輸字第019083號;衛署藥輸字第022519號;衛署藥輸字第023545號;衛署藥輸字第024182號;衛署藥輸字第024682號;衛署藥輸字第024683號;衛署藥輸字第025000號
ING0002,Camphor,,ING0033,Tocopherol Acetate Alpha Dl-,,19,14,119,22,0.1597,0.8636,37.1,"人生舒冷巴佈膏;人生溫感巴佈膏;熱龍巴布;""得生""安可巴斯;巴巴痛;巴斯達巴佈膏藥膠布;抗痛舒佈藥膠布;貼利康溫感藥布;德國薄荷標消炎膏;""德山""筋來爽藥膠布;""漁人"" 療痛貼藥膠布;溫賀喜布;〝美善滅酸疼〞溫感貼布;〝護民〞緩痛貼藥膠布;〝國品〞療舒貼藥膠布;”得生”易貼巴佈膏貼布;“德山”邁疼溫感貼布;撒隆適布;溫感喜布",衛署成製字第007868號;衛署成製字第008368號;衛署成製字第009438號;衛署藥製字第032919號;衛署藥製字第033155號;衛署藥製字第035703號;衛署藥製字第039768號;衛署藥製字第039800號;衛署藥製字第042882號;衛署藥製字第043430號;衛署藥製字第048163號;衛署藥製字第049141號;衛署藥製字第049171號;衛署藥製字第049355號;衛署藥製字第049614號;衛署藥製字第049675號;衛署藥製字第050257號;衛署藥輸字第022347號;衛部藥製字第059290號
ING0002,Camphor,,ING0006,Diphenhydramine,,16,2,119,18,0.1345,0.8889,34.6,"撒隆巴斯;撒隆濕布;涼涼涼鎮痛藥布;黃金膏;""三陽"" 痠痛金絲膏藥布;""陽生"" 鎮痛膏布;舒百達藥膠布;舒必達藥膠布;""德山""祛酸痛藥膠布;美帝喜布藥膠布;""得生""安可巴斯;生春痠痛寧藥膠布;樂貼藥布;好克斯貼布;痛貼貼貼片劑;善必克貼布劑",內衛成製字第000061號;衛署成製字第002108號;衛署成製字第002303號;衛署成製字第004435號;衛署藥製字第017039號;衛署藥製字第021345號;衛署藥製字第022741號;衛署藥製字第027399號;衛署藥製字第027581號;衛署藥製字第032110號;衛署藥製字第032919號;衛署藥製字第034140號;衛署藥製字第038322號;衛署藥輸字第018709號;衛署藥輸字第018861號;衛署藥輸字第020500號
ING0002,Camphor,,ING0023,Mentha Oil,,14,2,119,14,0.1176,1.0000,34.3,濕痛藥膏布;鐵甲貼布;福貼藥布;樂貼藥布;虎標鎮痛藥布;脫酸寧透明藥布;脫酸寧藥膠布;膚克舒貼布;脫酸寧涼藥布;好克斯貼布;痛貼貼貼片劑;日本三笠藥膠布Ｇ;藤澤藥膠布;痛貼貼溫感貼片劑,衛署成製字第004121號;衛署成輸字第000001號;衛署藥製字第038309號;衛署藥製字第038322號;衛署藥製字第043030號;衛署藥輸字第018206號;衛署藥輸字第018359號;衛署藥輸字第018582號;衛署藥輸字第018627號;衛署藥輸字第018709號;衛署藥輸字第018861號;衛署藥輸字第019787號;衛署藥輸字第020565號;衛署藥輸字第025000號
ING0002,Camphor,,ING0019,Peppermint Oil (Oleum Menth Pip),,11,4,119,12,0.0924,0.9167,29.1,"百珍膏布;黃金膏;大維貼痠痛藥布;""德山""青皮藥膠布;耐斯藥膠布;""德山""象印膏藥膠布;疼痛膏;""三陽"" 痠痛萬金膏;寶安藥膠布;""德山""祛風濕藥膠布;""德山"" 舒痠痛藥布",衛署成製字第003836號;衛署成製字第004435號;衛署成製字第005666號;衛署成製字第005716號;衛署成製字第005830號;衛署成製字第005910號;衛署成製字第006647號;衛署藥製字第011334號;衛署藥製字第023884號;衛署藥製字第028231號;衛署藥製字第045173號
ING0002,Camphor,,ING0028,Eucalyptus Oil (Oleum Eucalypti),,10,5,119,10,0.0840,1.0000,29.0,"大維貼痠痛藥布;耐斯藥膠布;""德山""象印膏藥膠布;曼秀雷敦鎮痛水性藥膠布;鐵甲貼布;寶安藥膠布;虎標鎮痛藥布;""德山"" 舒痠痛藥布;""得生"" 貼立舒喜布;藤澤藥膠布",衛署成製字第005666號;衛署成製字第005830號;衛署成製字第005910號;衛署成製字第010389號;衛署成輸字第000001號;衛署藥製字第023884號;衛署藥製字第043030號;衛署藥製字第045173號;衛署藥製字第049007號;衛署藥輸字第020565號
ING0002,Camphor,,ING0048,Glycyrrhizinic Acid (Eq To Glycyrrhetinic Acid Glycoside)(Eq To Glycyrrhizic Acid ),,9,3,119,9,0.0756,1.0000,27.5,"""陽生"" 鎮痛膏布;舒必達藥膠布;易貼巴佈膏;""得生""酸痛貼布;""生春""貼酸明痠痛布;貼利康水性藥布;貼可喜布;敵疼貼布;藤澤藥膠布",衛署藥製字第021345號;衛署藥製字第027399號;衛署藥製字第032920號;衛署藥製字第037298號;衛署藥製字第038310號;衛署藥製字第039881號;衛署藥製字第040204號;衛署藥輸字第018494號;衛署藥輸字第020565號
ING0002,Camphor,,ING0004,Borneol,,9,2,119,12,0.0756,0.7500,23.8,"撒隆巴斯;巴士;嘉伊娜巴斯;歡喜巴斯;""正光"" 巴斯藥膠布;濕痛膏布;大維好安巴斯;""葡萄王"" 百克斯膏布;""德山""祛酸痛藥膠布",內衛成製字第000061號;內衛成製字第000971號;衛署成製字第001427號;衛署成製字第003380號;衛署成製字第003786號;衛署成製字第004085號;衛署成製字第004545號;衛署藥製字第019363號;衛署藥製字第027581號
ING0002,Camphor,,ING0011,Phellodendron Extract,,7,5,119,8,0.0588,0.8750,22.7,"""三陽"" 痠痛萬金膏;寶安藥膠布;""德山""祛風濕藥膠布;萬應紅花溫感藥布;""得生""滅痛藥布;貼利康水性藥布;〝德山〞運動巴斯藥膠布",衛署藥製字第011334號;衛署藥製字第023884號;衛署藥製字第028231號;衛署藥製字第035217號;衛署藥製字第039767號;衛署藥製字第039881號;衛署藥製字第049460號
ING0002,Camphor,,ING0026,Capsicum,,13,7,119,37,0.1092,0.3514,19.6,人生溫感巴佈膏;熱龍巴布;貼溫藥膏布;溫貼喜布;萬應紅花溫感藥布;貼利康溫感藥布;貼利康水性藥布;溫賀喜布;〝美善滅酸疼〞溫感貼布;“德山”邁疼溫感貼布;熱克百疼貼布劑;溫感喜布,衛署成製字第008368號;衛署成製字第009438號;衛署藥製字第022623號;衛署藥製字第034095號;衛署藥製字第035217號;衛署藥製字第037282號;衛署藥製字第039800號;衛署藥製字第039881號;衛署藥製字第049141號;衛署藥製字第049171號;衛署藥製字第050257號;衛署藥輸字第021384號;衛部藥製字第059290號
ING0002,Camphor,,ING0045,Tocopherol Alpha-,,4,0,119,4,0.0336,1.0000,18.3,"""三陽"" 痠痛金絲膏藥布;""陽生"" 鎮痛膏布;舒百達藥膠布;舒必達藥膠布",衛署藥製字第017039號;衛署藥製字第021345號;衛署藥製字第022741號;衛署藥製字第027399號
ING0002,Camphor,,ING0016,Chlorpheniramine Maleate,,5,1,119,7,0.0420,0.7143,17.3,"樂樂鎮痛藥膏布;""三陽"" 痠痛萬金膏;寶安藥膠布;舒可達藥膠布;""德山""祛風濕藥膠布",衛署成製字第004148號;衛署藥製字第011334號;衛署藥製字第023884號;衛署藥製字第027371號;衛署藥製字第028231號
ING0002,Camphor,,ING0020,Gardenia Fruit Powder,,4,0,119,5,0.0336,0.8000,16.4,百珍膏布;黃金膏;耐斯藥膠布;藤澤藥膠布,衛署成製字第003836號;衛署成製字第004435號;衛署成製字第005830號;衛署藥輸字第020565號
ING0002,Camphor,,ING0018,Phellodendron Bark Powder (Eq To Powdered Phellodendron Bark),,4,0,119,5,0.0336,0.8000,16.4,百珍膏布;黃金膏;耐斯藥膠布;藤澤藥膠布,衛署成製字第003836號;衛署成製字第004435號;衛署成製字第005830號;衛署藥輸字第020565號
ING0002,Camphor,,ING0046,Tocopherol Acetate Alpha (Eq To Vit E Acetate) (Eq To Vitamin E Acetate),,5,3,119,8,0.0420,0.6250,16.2,"""葡萄王"" 百克斯膏布;生春痠痛寧藥膠布;貼可藥布;救筋酸痛布;透骨痠痛布",衛署藥製字第019363號;衛署藥製字第034140號;衛署藥製字第037295號;衛署藥製字第038086號;衛署藥製字第040571號
ING0002,Camphor,,ING0027,Clove Oil,,3,0,119,3,0.0252,1.0000,15.9,大維貼痠痛藥布;虎標永安堂萬金油（紅）;虎標永安堂萬金油（白）,衛署成製字第005666號;衛署成製字第009355號;衛署成製字第009356號
ING0002,Camphor,,ING0052,Glycyrrhetic Acid (Eq To Glycyrrhetinic Acid),,3,2,119,3,0.0252,1.0000,15.9,萬應紅花溫感藥布;脫酸寧藥布;痛貼貼溫感貼片劑,衛署藥製字第035217號;衛署藥輸字第024682號;衛署藥輸字第025000號
ING0002,Camphor,,ING0001,Zinc Oxide,,8,3,119,22,0.0672,0.3636,15.6,"撒隆巴斯;撒隆濕布;歡喜巴斯;濕痛膏布;""德山"" 免酸痛藥膠布;""德山""象印膏藥膠布;""真富""薄荷膏藥膠布;""得生""安可巴斯",內衛成製字第000061號;衛署成製字第002108號;衛署成製字第003380號;衛署成製字第004085號;衛署成製字第005667號;衛署成製字第005910號;衛署成製字第015313號;衛署藥製字第032919號
ING0002,Camphor,,ING0043,Glycol Monosalicylate,,3,1,119,4,0.0252,0.7500,13.8,"""葡萄王"" 百克斯膏布;巴巴痛;脫酸寧藥膠布",衛署藥製字第019363號;衛署藥製字第033155號;衛署藥輸字第018359號
ING0002,Camphor,,ING0074,Monoglycol Salicylate,,3,0,119,4,0.0252,0.7500,13.8,膚克舒貼布;脫酸寧涼藥布;好克斯貼布,衛署藥輸字第018582號;衛署藥輸字第018627號;衛署藥輸字第018709號
ING0002,Camphor,,ING0010,Scopolia Extract,,4,1,119,8,0.0336,0.5000,13.0,"""三陽"" 痠痛萬金膏;寶安藥膠布;舒可達藥膠布;""德山""祛風濕藥膠布",衛署藥製字第011334號;衛署藥製字第023884號;衛署藥製字第027371號;衛署藥製字第028231號
ING0002,Camphor,,ING0034,Cajuput Oil,,2,0,119,2,0.0168,1.0000,13.0,虎標永安堂萬金油（紅）;虎標永安堂萬金油（白）,衛署成製字第009355號;衛署成製字第009356號
ING0002,Camphor,,ING0024,Olive Oil,,2,0,119,2,0.0168,1.0000,13.0,濕痛藥膏布;大維貼痠痛藥布,衛署成製字第004121號;衛署成製字第005666號
